,model,method,ngram_range,min_df,max_df,max_feature,features_limit,train_acc,test_acc,f1_train,f1_test,gap_percent,comments
131,MultinomialNB,countVectorizer,"(1, 3)",20,0.99,2482,5000,0.9216,0.9116,0.9188,0.9083,1.05,"ngram=(1, 3), min_df=20, max_df=0.99"
132,MultinomialNB,countVectorizer,"(2, 2)",1,0.9,5000,5000,0.8343,0.7984,0.8113,0.7669,4.45,"ngram=(2, 2), min_df=1, max_df=0.9"
133,MultinomialNB,countVectorizer,"(2, 2)",1,0.95,5000,5000,0.8343,0.7984,0.8113,0.7669,4.45,"ngram=(2, 2), min_df=1, max_df=0.95"
134,MultinomialNB,countVectorizer,"(2, 2)",1,0.99,5000,5000,0.8343,0.7984,0.8113,0.7669,4.45,"ngram=(2, 2), min_df=1, max_df=0.99"
135,MultinomialNB,countVectorizer,"(2, 2)",5,0.9,4132,5000,0.8222,0.791,0.7951,0.7558,3.93,"ngram=(2, 2), min_df=5, max_df=0.9"
136,MultinomialNB,countVectorizer,"(2, 2)",5,0.95,4132,5000,0.8222,0.791,0.7951,0.7558,3.93,"ngram=(2, 2), min_df=5, max_df=0.95"
137,MultinomialNB,countVectorizer,"(2, 2)",5,0.99,4132,5000,0.8222,0.791,0.7951,0.7558,3.93,"ngram=(2, 2), min_df=5, max_df=0.99"
138,MultinomialNB,countVectorizer,"(2, 2)",10,0.9,1353,5000,0.7495,0.7388,0.6873,0.6734,1.39,"ngram=(2, 2), min_df=10, max_df=0.9"
139,MultinomialNB,countVectorizer,"(2, 2)",10,0.95,1353,5000,0.7495,0.7388,0.6873,0.6734,1.39,"ngram=(2, 2), min_df=10, max_df=0.95"
140,MultinomialNB,countVectorizer,"(2, 2)",10,0.99,1353,5000,0.7495,0.7388,0.6873,0.6734,1.39,"ngram=(2, 2), min_df=10, max_df=0.99"
141,MultinomialNB,countVectorizer,"(2, 2)",20,0.9,469,5000,0.6853,0.68,0.5715,0.5641,0.74,"ngram=(2, 2), min_df=20, max_df=0.9"
142,MultinomialNB,countVectorizer,"(2, 2)",20,0.95,469,5000,0.6853,0.68,0.5715,0.5641,0.74,"ngram=(2, 2), min_df=20, max_df=0.95"
143,MultinomialNB,countVectorizer,"(2, 2)",20,0.99,469,5000,0.6853,0.68,0.5715,0.5641,0.74,"ngram=(2, 2), min_df=20, max_df=0.99"
144,RandomForestClassifier,countVectorizer,"(1, 1)",1,0.9,5000,5000,0.8666,0.8549,0.8634,0.8513,1.21,"ngram=(1, 1), min_df=1, max_df=0.9"
145,RandomForestClassifier,countVectorizer,"(1, 1)",1,0.95,5000,5000,0.8743,0.8581,0.8758,0.8596,1.62,"ngram=(1, 1), min_df=1, max_df=0.95"
146,RandomForestClassifier,countVectorizer,"(1, 1)",1,0.99,5000,5000,0.8668,0.8527,0.8649,0.85,1.5,"ngram=(1, 1), min_df=1, max_df=0.99"
147,RandomForestClassifier,countVectorizer,"(1, 1)",5,0.9,4888,5000,0.8597,0.8464,0.8546,0.8404,1.43,"ngram=(1, 1), min_df=5, max_df=0.9"
148,RandomForestClassifier,countVectorizer,"(1, 1)",5,0.95,4888,5000,0.8585,0.8452,0.8521,0.8377,1.44,"ngram=(1, 1), min_df=5, max_df=0.95"
149,RandomForestClassifier,countVectorizer,"(1, 1)",5,0.99,4888,5000,0.8579,0.8458,0.8511,0.8384,1.27,"ngram=(1, 1), min_df=5, max_df=0.99"
150,RandomForestClassifier,countVectorizer,"(1, 1)",10,0.9,3185,5000,0.8672,0.8512,0.8699,0.8546,1.53,"ngram=(1, 1), min_df=10, max_df=0.9"
151,RandomForestClassifier,countVectorizer,"(1, 1)",10,0.95,3185,5000,0.8644,0.8525,0.8631,0.8511,1.2,"ngram=(1, 1), min_df=10, max_df=0.95"
